# EIS Calibration Lookup Table
# Format: frequency_hz, tia_mode, pga_gain_index, magnitude_ratio, phase_offset_deg
# tia_mode: 0=high TIA gain, 1=low TIA gain
# pga_gain_index: 0-7 (maps to gains: 1, 2, 5, 10, 20, 50, 100, 200)

100000,0,5,8341.044567,5.72
100000,0,6,15244.813894,-5.76
100000,0,7,30025.697550,-17.89
100000,1,0,2.476144,3.97
100000,1,1,4.951742,3.82
100000,1,2,12.482202,1.01
100000,1,3,24.973259,0.27
100000,1,4,51.542309,7.66
100000,1,5,128.516534,4.97
100000,1,6,241.742598,-9.23
100000,1,7,457.265410,-19.03
